month,LogReg_v92,ElasticNet_v92,MLP_v92,Ensemble_v92
2015-12-01,0.023224026638811335,-0.8728107310768417,-0.9846930667960403,-0.6114265904113569
2016-01-01,0.784088010208438,3.5689938570802506,4.504658352790494,2.952580073359728
2016-02-01,1.6646951289984908,3.491534476217387,4.595119850134589,3.250449818450156
2016-03-01,2.646843831018384,4.595119850134589,4.595119850134589,3.945694510429187
2016-04-01,0.16972325062427152,-0.9709840996560998,-1.0968062090878088,-0.6326890193732123
2016-05-01,1.8499398357373031,4.595119850134589,4.33672561356942,3.593928433147104
2016-06-01,0.24853833245394752,0.7392985483806717,1.944998747946688,0.9776118762604357
2016-07-01,1.2970738775722785,2.001838950645544,3.3310748896280318,2.209995905948618
2016-08-01,-0.213448950897094,-0.7582163006393602,-2.117926366031394,-1.029863872522616
2016-09-01,8.274066046004634e-05,1.1300085988114654,2.5424640829665552,1.2241851408128268
2016-10-01,0.0022599285480283888,-0.29173973826822946,-2.7993986947882403,-1.0296261681694805
2016-11-01,1.682947999459998,4.330488774591736,3.3347617090375308,3.116066161029755
2016-12-01,-0.20932295770294726,-0.5224860966168731,-1.6706694764031786,-0.8008261769076664
2017-01-01,1.0885536647875904,2.52935816386588,3.308430927111083,2.3087809185881842
2017-02-01,1.6291007925538226,3.6232000724030526,4.595119850134589,3.2824735716971545
2017-03-01,0.39631299005435416,0.8916153968202232,-1.0061620917749625,0.09392209836653824
2017-04-01,1.276666381155207,4.063910854510996,3.5662356919562255,2.96893764254081
2017-05-01,1.0189101083234464,2.244991129209692,3.0399337210354553,2.1012783195228644
2017-06-01,0.11847435823008977,0.3200371297943915,-1.6705884120300305,-0.4106923080018497
2017-07-01,0.8513776354455824,2.151131423960924,2.048610642331349,1.6837065672459517
2017-08-01,1.1031122828485416,2.7621970074654945,3.737973560860336,2.534427617058124
2017-09-01,0.8537668711675104,2.9932276381343477,4.053514090341772,2.6335028665478766
2017-10-01,1.2345802093251075,2.6233317938655722,3.7026468810417206,2.5201862947441334
2017-11-01,2.1863016211647697,4.595119850134589,4.595119850134589,3.7921804404779826
2017-12-01,0.7749707722708443,1.8905851839675303,2.4307758761046014,1.6987772774476586
2018-01-01,2.020814123857554,4.595119850134589,4.595119850134589,3.7370179413755777
2018-02-01,-0.932497976093957,-2.6599928554737566,-1.115335199974315,-1.5692753438473428
2018-03-01,-2.3441724000491924,-4.59511985013459,-4.59511985013459,-3.8448040334394573
2018-04-01,-1.2716665524053397,-3.1108665708290486,-4.175687746369639,-2.8527402898680094
2018-05-01,1.568895098078016,1.9503548150798793,4.440754344650258,2.6533347526027176
2018-06-01,-0.14129489222586553,-1.5011175873745326,-2.546346935489101,-1.3962531383631662
2018-07-01,1.6975236145697143,2.4388080895871838,3.957720343141897,2.6980173490995987
2018-08-01,2.092861706687843,4.545286492410208,4.595119850134589,3.7444226830775467
2018-09-01,0.24863881623342474,1.213466105804501,1.7293688930858837,1.0638246050412699
2018-10-01,-0.5349216743005065,-1.9150340690841805,-3.8255340889061413,-2.091829944096943
2018-11-01,2.5796111632642296,4.495281706933905,4.595119850134589,3.890004240110908
2018-12-01,0.03870198960957376,0.21472284398668048,1.0757907951124546,0.44307187623623623
2019-01-01,3.8238283801041506,4.595119850134589,4.595119850134589,4.338022693457776
2019-02-01,1.8468490440168654,2.319627781043276,4.595119850134589,2.9205322250649104
2019-03-01,1.875934632892006,2.7347894003226094,4.595119850134589,3.068614627783068
