Date,Open,High,Low,Close,vix,daily_return,overnight_ret,intraday_ret,yearmonth,day_rank,day_rank_rev,high_252,dist_52w
1990-08-24,307.06,311.65,306.18,311.51,33.93,1.449228163876759,0.0,1.449228163876759,1990-08,18,6,368.95,-15.568505217509149
1990-08-27,311.55,323.11,311.55,321.44,29.63,3.187698629257496,0.012840679271941546,3.174450329000167,1990-08,19,5,368.95,-12.877083615666077
1990-08-28,321.44,322.2,320.25,321.34,29.12,-0.031110004977608074,0.0,-0.031110004977608074,1990-08,20,4,368.95,-12.90418755928988
1990-08-29,321.34,325.83,320.87,324.19,27.38,0.8869110599365237,0.0,0.8869110599365237,1990-08,21,3,368.95,-12.131725166011654
1990-08-30,324.19,324.57,317.82,318.71,29.89,-1.6903667602331973,0.0,-1.6903667602331973,1990-08,22,2,368.95,-13.617021276595748
1990-08-31,318.71,322.57,316.59,322.56,29.9,1.2079947287502835,0.0,1.2079947287502835,1990-08,23,1,368.95,-12.573519447079548
1990-09-04,322.56,323.09,319.11,323.09,29.58,0.16431051587300072,0.0,0.16431051587300072,1990-09,1,19,368.95,-12.429868545873429
1990-09-05,323.09,324.52,320.99,324.39,28.52,0.4023646661920788,0.0,0.4023646661920788,1990-09,2,18,368.95,-12.077517278764061
1990-09-06,324.39,324.39,319.37,320.46,30.19,-1.2115046703042642,0.0,-1.2115046703042642,1990-09,3,17,368.95,-13.142702263179295
1990-09-07,320.46,324.18,319.71,323.4,28.73,0.917431192660545,0.0,0.917431192660545,1990-09,4,16,368.95,-12.345846320639657
1990-09-10,323.42,326.53,320.31,321.63,29.34,-0.5473098330241122,0.006184291898581051,-0.5534598973471083,1990-09,5,15,368.95,-12.825586122780862
1990-09-11,321.63,322.18,319.6,321.04,28.38,-0.18344059944656044,0.0,-0.18344059944656044,1990-09,6,14,368.95,-12.985499390161259
1990-09-12,321.04,322.55,319.6,322.54,28.12,0.467231497632703,0.0,0.467231497632703,1990-09,7,13,368.95,-12.5789402358043
1990-09-13,322.51,322.51,318.02,318.65,29.33,-1.2060519625472943,-0.009301171947673215,-1.1968621128027102,1990-09,8,12,368.95,-13.633283642770028
1990-09-14,318.65,318.65,314.76,316.83,30.56,-0.5711595794759106,0.0,-0.5711595794759106,1990-09,9,11,368.95,-14.126575416723137
1990-09-17,316.83,318.05,315.21,317.77,29.55,0.2966890761607166,0.0,0.2966890761607166,1990-09,10,10,368.95,-13.871798346659443
1990-09-18,317.77,318.85,314.27,318.6,28.82,0.2611952040784349,0.0,0.2611952040784349,1990-09,11,9,368.95,-13.646835614581912
1990-09-19,318.6,319.35,316.25,316.6,27.88,-0.6277463904582503,0.0,-0.6277463904582503,1990-09,12,8,368.95,-14.188914487057858
1990-09-20,316.6,316.6,310.55,311.48,28.66,-1.6171825647504745,0.0,-1.6171825647504745,1990-09,13,7,368.95,-15.57663640059628
1990-09-21,311.53,312.17,307.98,311.32,30.04,-0.051367664055490536,0.016052395017318588,-0.06740923827560641,1990-09,14,6,368.95,-15.620002710394362
1990-09-24,311.3,311.3,303.58,304.59,30.56,-2.161762816394708,-0.006424257998194349,-2.1554770318021332,1990-09,15,5,368.95,-17.44409811627592
1990-09-25,305.46,308.27,304.23,308.26,28.81,1.2048983879969777,0.28562986309466076,0.9166502979113478,1990-09,16,4,368.95,-16.44938338528256
1990-09-26,308.26,308.28,303.05,305.06,28.19,-1.0380847336663779,0.0,-1.0380847336663779,1990-09,17,3,368.95,-17.31670958124407
1990-09-27,305.06,307.47,299.1,300.97,28.67,-1.340719858388506,0.0,-1.340719858388506,1990-09,18,2,368.95,-18.42526087545737
1990-09-28,300.97,306.05,295.98,306.05,29.11,1.6878758680267003,0.0,1.6878758680267003,1990-09,19,1,368.95,-17.04838053936847
1990-10-01,306.1,314.94,306.1,314.94,28.06,2.90475412514295,0.016337199803961866,2.8879451159751657,1990-10,1,23,368.95,-14.638839951212901
1990-10-02,314.94,319.69,314.94,315.21,27.28,0.08573061535530613,0.0,0.08573061535530613,1990-10,2,22,368.95,-14.565659303428651
1990-10-03,315.21,316.26,310.7,311.4,27.9,-1.2087179975254547,0.0,-1.2087179975254547,1990-10,3,21,368.95,-15.598319555495326
1990-10-04,311.4,313.4,308.59,312.69,27.51,0.4142581888246788,0.0,0.4142581888246788,1990-10,4,20,368.95,-15.248678682748338
1990-10-05,312.69,314.79,305.76,311.5,27.85,-0.3805686142825171,0.0,-0.3805686142825171,1990-10,5,19,368.95,-15.571215611871525
1990-10-08,311.5,315.03,311.5,313.48,28.04,0.6356340288924622,0.0,0.6356340288924622,1990-10,6,18,368.95,-15.034557528120335
1990-10-09,313.46,313.46,305.09,305.1,30.71,-2.673216792139843,-0.00637999234401887,-2.6670069546353425,1990-10,7,17,368.95,-17.305868003794544
1990-10-10,305.09,306.43,299.21,300.39,31.19,-1.543756145526065,-0.00327761389710135,-1.540529024222359,1990-10,8,16,368.95,-18.582463748475405
1990-10-11,300.39,301.45,294.51,295.46,33.98,-1.6411997736276218,0.0,-1.6411997736276218,1990-10,9,15,368.95,-19.91868816912861
1990-10-12,295.45,301.68,295.22,300.03,31.94,1.546740675556757,-0.003384552900553839,1.5501776950414659,1990-10,10,14,368.95,-18.68003794552108
1990-10-15,300.03,304.79,296.41,303.23,31.64,1.066560010665607,0.0,1.066560010665607,1990-10,11,13,368.95,-17.812711749559554
1990-10-16,303.23,304.34,298.12,298.92,31.45,-1.4213633215710897,0.0,-1.4213633215710897,1990-10,12,12,368.95,-18.980891719745216
1990-10-17,298.92,301.5,297.79,298.76,31.37,-0.05352602703064813,0.0,-0.05352602703064813,1990-10,13,11,368.95,-19.024258029543297
1990-10-18,298.75,305.74,298.75,305.74,29.6,2.3363234703440927,-0.0033471682956198734,2.3397489539749072,1990-10,14,10,368.95,-17.132402764602244
1990-10-19,305.74,312.48,305.74,312.48,27.86,2.204487473016292,0.0,2.204487473016292,1990-10,15,9,368.95,-15.305596964358307
1990-10-22,312.48,315.83,310.47,314.76,27.27,0.7296466973886195,0.0,0.7296466973886195,1990-10,16,8,368.95,-14.687627049735735
1990-10-23,314.76,315.06,312.06,312.36,27.57,-0.7624857033930565,0.0,-0.7624857033930565,1990-10,17,7,368.95,-15.338121696706864
1990-10-24,312.36,313.51,310.74,312.6,28.28,0.07683442182098155,0.0,0.07683442182098155,1990-10,18,6,368.95,-15.27307223200975
1990-10-25,312.6,313.71,309.7,310.17,29.04,-0.777351247600766,0.0,-0.777351247600766,1990-10,19,5,368.95,-15.931698062068023
1990-10-26,310.17,310.17,304.71,304.71,30.75,-1.7603249830738132,0.0,-1.7603249830738132,1990-10,20,4,368.95,-17.411573383927365
1990-10-29,304.74,307.41,300.69,301.88,31.54,-0.9287519280627432,0.009845426799270918,-0.9385049550436508,1990-10,21,3,368.95,-18.178614988480824
1990-10-30,301.88,304.36,299.44,304.06,30.52,0.7221412481780876,0.0,0.7221412481780876,1990-10,22,2,368.95,-17.58774901748204
1990-10-31,304.06,305.7,302.33,304.0,30.04,-0.01973294744458398,0.0,-0.01973294744458398,1990-10,23,1,368.95,-17.60401138365632
1990-11-01,303.99,307.27,301.61,307.02,30.25,0.9934210526315823,-0.0032894736842092875,0.9967433139247861,1990-11,1,21,368.95,-16.785472286217647
1990-11-02,307.02,311.94,306.88,311.85,30.03,1.5731874145006985,0.0,1.5731874145006985,1990-11,2,20,368.95,-15.476351809188227
1990-11-05,311.85,314.61,311.41,314.59,29.85,0.8786275452941972,0.0,0.8786275452941972,1990-11,3,19,368.95,-14.733703753896195
1990-11-06,314.59,314.76,311.43,311.62,29.11,-0.9440859531453571,0.0,-0.9440859531453571,1990-11,4,18,368.95,-15.538690879522967
1990-11-07,311.62,311.62,305.79,306.01,30.87,-1.8002695590783713,0.0,-1.8002695590783713,1990-11,5,17,368.95,-17.059222116817995
1990-11-08,306.01,309.77,305.03,307.61,30.79,0.5228587301068677,0.0,0.5228587301068677,1990-11,6,16,368.95,-16.625559018837237
1990-11-09,307.61,313.78,307.61,313.74,26.96,1.9927830694710824,0.0,1.9927830694710824,1990-11,7,15,368.95,-14.964087274698464
1990-11-12,313.74,319.77,313.73,319.48,25.6,1.8295403837572444,0.0,1.8295403837572444,1990-11,8,14,368.95,-13.408320910692497
1990-11-13,319.48,319.48,317.26,317.67,24.58,-0.5665456366595767,0.0,-0.5665456366595767,1990-11,9,13,368.95,-13.89890229028323
1990-11-14,317.66,321.7,317.23,320.4,22.89,0.8593823779393661,-0.003147920798307613,0.8625574513630774,1990-11,10,12,368.95,-13.158964629353576
1990-11-15,320.4,320.4,316.13,317.02,22.57,-1.0549313358302115,0.0,-1.0549313358302115,1990-11,11,11,368.95,-14.07507792383792
1990-11-16,317.02,318.8,314.99,317.12,21.34,0.03154375118290531,0.0,0.03154375118290531,1990-11,12,10,368.95,-14.047973980214119
1990-11-19,317.15,319.39,317.15,319.34,20.95,0.7000504540867647,0.009460141271433464,0.6905249881759445,1990-11,13,9,368.95,-13.446266431765826
1990-11-20,319.34,319.34,315.31,315.31,20.09,-1.2619778292728645,0.0,-1.2619778292728645,1990-11,14,8,368.95,-14.538555359804848
1990-11-21,315.31,316.15,312.42,316.03,21.09,0.22834670641589394,0.0,0.22834670641589394,1990-11,15,7,368.95,-14.343406965713514
1990-11-23,316.03,317.3,315.06,315.1,20.98,-0.2942758598867057,0.0,-0.2942758598867057,1990-11,16,6,368.95,-14.595473641414817
1990-11-26,315.08,316.51,311.48,316.51,22.76,0.4474769914312837,-0.006347191367828131,0.45385298971689636,1990-11,17,5,368.95,-14.213308036319283
1990-11-27,316.51,318.69,315.8,318.1,22.86,0.502353796088606,0.0,0.502353796088606,1990-11,18,4,368.95,-13.782355332700899
1990-11-28,318.11,319.96,317.62,317.95,22.96,-0.047154982709851634,0.0031436655139938097,-0.050297067052285094,1990-11,19,3,368.95,-13.823011248136604
1990-11-29,317.95,317.95,315.03,316.42,23.91,-0.48120773706556985,0.0,-0.48120773706556985,1990-11,20,2,368.95,-14.237701585580695
1990-11-30,316.42,323.02,315.42,322.22,22.16,1.8330067631628921,0.0,1.8330067631628921,1990-11,21,1,368.95,-12.66567285540045
1990-12-03,322.23,324.9,322.23,324.1,22.29,0.5834522996710279,0.0031034696790888106,0.580330819600916,1990-12,1,20,368.95,-12.156118715273063
1990-12-04,324.11,326.77,321.97,326.35,22.03,0.6942301758716463,0.0030854674483160593,0.6911233840362963,1990-12,2,19,368.95,-11.546279983737625
1990-12-05,326.36,329.92,325.66,329.92,20.94,1.0939175731576434,0.0030641948827847543,1.090819953425659,1990-12,3,18,368.95,-10.578669196368065
1990-12-06,329.94,333.98,328.37,329.07,22.62,-0.25763821532492903,0.006062075654700294,-0.2636843062374994,1990-12,4,17,368.95,-10.809052717170347
1990-12-07,329.09,329.39,326.39,327.75,22.59,-0.4011304585650466,0.006077734220677478,-0.4071834452581302,1990-12,5,16,368.95,-11.16682477300447
1990-12-10,327.75,328.97,326.15,328.89,23.58,0.3478260869565153,0.0,0.3478260869565153,1990-12,6,15,368.95,-10.857839815693184
1990-12-11,328.88,328.88,325.65,326.44,23.75,-0.7449299157773037,-0.0030405302684721747,-0.7419119435660426,1990-12,7,14,368.95,-11.521886434476214
1990-12-12,326.44,330.36,326.44,330.19,21.28,1.1487562798676576,0.0,1.1487562798676576,1990-12,8,13,368.95,-10.505488548583816
1990-12-13,330.14,330.58,328.77,329.34,23.05,-0.25742754171841353,-0.015142796571676609,-0.24232143938934803,1990-12,9,12,368.95,-10.735872069386101
1990-12-14,329.34,329.34,325.16,326.82,23.85,-0.7651666970304172,0.0,-0.7651666970304172,1990-12,10,11,368.95,-11.418891448705786
1990-12-17,326.82,326.82,324.46,326.02,24.85,-0.24478306101217706,0.0,-0.24478306101217706,1990-12,11,10,368.95,-11.635722997696167
1990-12-18,326.02,330.43,325.75,330.05,23.11,1.2361204834059336,0.0,1.2361204834059336,1990-12,12,9,368.95,-10.54343406965713
1990-12-19,330.04,330.8,329.39,330.2,23.08,0.04544765944554108,-0.003029843963031631,0.04847897224578013,1990-12,13,8,368.95,-10.50277815422144
1990-12-20,330.2,330.74,326.94,330.12,23.13,-0.024227740763171912,0.0,-0.024227740763171912,1990-12,14,7,368.95,-10.524461309120472
