,LogReg_v92,ElasticNet_v92,MLP_v92,EWLogit_v92,som_ret,remaining_ret,monthly_return,Ensemble_v92
2005-08-01,-0.29933186081571944,-2.70256734971829,-1.1926941718167565,-0.39054688774812374,-0.4243,-1.0585,-1.2158,-1.1462850675247225
2005-09-01,-0.534351890525261,-2.182008482550076,-0.7324892883315869,-1.1274443016760507,0.7706,-0.5353,0.591,-1.1440734907707437
2005-10-01,1.0066392586317687,4.595119850134589,2.8198053529450156,0.05648815100439315,-3.6548,2.0196,-1.6051,2.1195131531789415
2005-11-01,0.6824993777992411,4.177633248417478,0.7755802448350384,0.46159352020918576,2.4254,2.2116,3.8844,1.5243265978152356
2005-12-01,0.985076095862218,1.4306691804086693,3.5063803846909245,0.3607412220306979,0.2453,-0.515,-1.2952,1.5707167207481274
2006-01-01,1.1718874818287053,4.595119850134589,0.4787457906319958,0.4989314514799957,1.1912,-0.3327,0.889,1.6861711435188211
2006-02-01,0.15448738946971124,-0.6396889676197706,0.19176598444914028,-0.19425106186441388,-0.5854,1.0854,-0.1404,-0.12192166389133323
2006-03-01,0.6165116583706827,-0.27787158787924965,0.2576801386364157,0.10372577709142128,0.2351,0.4202,0.2811,0.17501149655481751
2006-04-01,2.731610213958826,0.5879474746860819,4.595119850134589,0.37426586778560067,-0.1429,1.0592,0.9863,2.0722358516412744
2006-05-01,-1.3483298701908988,-4.59511985013459,-1.375236375311102,-0.8097328181758014,-0.2967,-1.9477,-2.6893,-2.032104728453098
2006-06-01,1.124806572930513,4.595119850134589,1.0444641615292405,0.8081294165797804,-3.5728,2.7238,-1.2063,1.8931300002935307
2006-07-01,0.7804799081686269,4.595119850134589,0.5518587357683541,1.0808876784143253,-2.9888,2.7342,-0.2757,1.7520865431214738
2006-08-01,0.6252245091015588,3.4762074604113367,1.5822333561176245,0.5226437499839539,0.522,2.4115,2.5887,1.5515772689036185
2006-09-01,0.5374187004894643,4.595119850134589,0.43149380393620207,0.39047183531427926,0.5763,1.2494,1.8947,1.4886260474686335
2006-10-01,1.654816099579055,4.595119850134589,4.392058117099283,2.0635141597592073,2.3272,0.7673,3.5018,3.176377056643034
2006-11-01,0.7126568919351484,-0.4139247185542216,1.3834630124061564,1.1991667339664627,1.6935,0.7557,2.3995,0.7203404799383865
