,LogReg,ElasticNet,MLP,som_ret,remaining_ret,monthly_return,vix_regime,vix_spike,Ensemble
2011-07-01,-0.546468259685692,-1.3592785951428046,0.0,-1.843,-2.3951,-3.5374,1,0,-0.6352489516094989
2011-08-01,1.5788945429175156,4.595119850134589,0.0,-8.7842,2.4413,-5.2877,3,1,2.0580047976840348
2011-09-01,-4.59511985013459,-4.59511985013459,0.0,-0.5204,-5.7924,-6.061,3,0,-3.0634132334230597
2011-10-01,2.9915206414210163,4.595119850134589,0.0,10.2905,2.9939,14.0162,3,0,2.5288801638518685
2011-11-01,-0.775356311757212,-0.7955410501546653,0.0,2.6045,-1.3806,2.3541,3,0,-0.5236324539706257
2011-12-01,0.9290108194642173,3.320143970919564,0.0,-1.8234,3.835,1.0461,2,0,1.4163849301279272
2012-01-01,1.045323669082953,2.3730115300658445,0.0,1.8088,1.4308,2.7681,2,0,1.1394450663829325
2012-02-01,0.981970585677969,1.564071213408062,0.0,1.8991,1.5682,3.141,1,0,0.8486805996953436
2012-03-01,0.965284967203592,2.167756554003539,0.0,1.4212,1.2503,2.502,1,0,1.0443471737357102
2012-04-01,0.42294697500560086,1.5684394103972203,0.0,-2.7044,1.5707,-1.489,1,0,0.6637954618009404
2012-05-01,-1.7453015096359397,-2.1086726560833506,0.0,-4.6081,-3.4354,-6.7925,2,0,-1.2846580552397635
2012-06-01,1.1987267553409542,2.804027181309683,0.0,4.1561,1.9927,6.582,2,0,1.334251312216879
2012-07-01,0.4136064903443316,1.5973690690667657,0.0,-0.6726,1.4679,1.0113,1,0,0.6703251864703658
2012-08-01,0.11618235577023521,-0.578334438564911,0.0,2.3027,-0.2402,2.2729,1,0,-0.1540506942648919
2012-09-01,-0.6246640610634745,-1.2545907292782306,0.0,4.0232,-1.1597,2.5432,1,0,-0.626418263447235
2012-10-01,-0.8041182159584227,-2.481591557925443,0.0,-0.4626,-1.4839,-2.2382,1,0,-1.0952365912946218
2012-11-01,1.8088352501756089,4.595119850134589,0.0,-4.4087,3.4813,-0.7992,1,0,2.134651700103399
2012-12-01,0.6442981303910039,1.0838011791615303,0.0,1.2964,0.6913,1.187,1,0,0.576033103184178
2013-01-01,2.217625383921535,4.595119850134589,0.0,0.7732,1.9345,2.4405,0,0,2.270915078018708
2013-02-01,0.5429974787232041,0.6070879350529576,0.0,0.6083,-0.2533,0.0998,0,0,0.3833618045920539
2013-03-01,1.1047150046327718,1.731204408402847,0.0,2.5297,0.6109,3.3586,0,0,0.9453064710118729
2013-04-01,1.0887772915252907,2.137082769716849,0.0,1.1014,0.8542,2.2661,0,0,1.0752866870807132
2013-05-01,-0.29058757931329005,-1.834509867634382,0.0,3.9623,-0.3753,3.0353,0,0,-0.708365815649224
2013-06-01,0.09651117290652507,-0.9498625776247374,0.0,-0.4345,-1.2957,-2.0812,1,0,-0.28445046823940406
2013-07-01,1.9805558758047086,2.2010519983723476,0.0,3.9639,1.0769,4.3822,0,0,1.3938692913923518
